scope,domain,q_id,k,metric,bm25_v0.1,embedding_v0.1,absolute_difference
per_question,evidence,Q02,5,weighted_partial_coverage,0.441176470588,0.0,0.441176470588
per_question,evidence,Q02,5,core_recall,0.333333333333,0.0,0.333333333333
per_question,evidence,Q02,10,part_recall,0.333333333333,0.083333333333,0.25
per_question,evidence,Q02,10,item_coverage,0.333333333333,0.111111111111,0.222222222222
per_question,evidence,Q02,10,all_parts_rate,0.222222222222,0.111111111111,0.111111111111
per_question,evidence,Q02,10,benchmark_weighted_strict_score,0.264705882353,0.088235294118,0.176470588235
per_question,evidence,Q02,10,weighted_partial_coverage,0.441176470588,0.088235294118,0.35294117647
per_question,evidence,Q02,10,core_recall,0.333333333333,0.0,0.333333333333
per_question,evidence,Q02,20,part_recall,0.666666666667,0.416666666667,0.25
per_question,evidence,Q02,20,item_coverage,0.555555555556,0.333333333333,0.222222222223
per_question,evidence,Q02,20,all_parts_rate,0.555555555556,0.222222222222,0.333333333334
per_question,evidence,Q02,20,benchmark_weighted_strict_score,0.705882352941,0.176470588235,0.529411764706
per_question,evidence,Q02,20,weighted_partial_coverage,0.705882352941,0.352941176471,0.35294117647
per_question,evidence,Q02,20,core_recall,1.0,0.0,1.0
per_question,evidence,Q02,50,part_recall,0.916666666667,0.916666666667,0.0
per_question,evidence,Q02,50,item_coverage,0.888888888889,0.888888888889,0.0
per_question,evidence,Q02,50,all_parts_rate,0.888888888889,0.888888888889,0.0
per_question,evidence,Q02,50,benchmark_weighted_strict_score,0.970588235294,0.970588235294,0.0
per_question,evidence,Q02,50,weighted_partial_coverage,0.970588235294,0.970588235294,0.0
per_question,evidence,Q02,50,core_recall,1.0,1.0,0.0
per_question,evidence,Q04,1,part_recall,0.0,0.0,0.0
per_question,evidence,Q04,1,item_coverage,0.0,0.0,0.0
per_question,evidence,Q04,1,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q04,1,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q04,1,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q04,1,core_recall,0.0,0.0,0.0
per_question,evidence,Q04,3,part_recall,0.0,0.0,0.0
per_question,evidence,Q04,3,item_coverage,0.0,0.0,0.0
per_question,evidence,Q04,3,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q04,3,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q04,3,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q04,3,core_recall,0.0,0.0,0.0
per_question,evidence,Q04,5,part_recall,0.0,0.0,0.0
per_question,evidence,Q04,5,item_coverage,0.0,0.0,0.0
per_question,evidence,Q04,5,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q04,5,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q04,5,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q04,5,core_recall,0.0,0.0,0.0
per_question,evidence,Q04,10,part_recall,0.0,0.0,0.0
per_question,evidence,Q04,10,item_coverage,0.0,0.0,0.0
per_question,evidence,Q04,10,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q04,10,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q04,10,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q04,10,core_recall,0.0,0.0,0.0
per_question,evidence,Q04,20,part_recall,0.0,0.0,0.0
per_question,evidence,Q04,20,item_coverage,0.0,0.0,0.0
per_question,evidence,Q04,20,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q04,20,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q04,20,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q04,20,core_recall,0.0,0.0,0.0
per_question,evidence,Q04,50,part_recall,0.0,0.2,0.2
per_question,evidence,Q04,50,item_coverage,0.0,0.2,0.2
per_question,evidence,Q04,50,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q04,50,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q04,50,weighted_partial_coverage,0.0,0.125,0.125
per_question,evidence,Q04,50,core_recall,0.0,0.0,0.0
per_question,evidence,Q05,1,part_recall,0.0,0.0,0.0
per_question,evidence,Q05,1,item_coverage,0.0,0.0,0.0
per_question,evidence,Q05,1,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q05,1,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q05,1,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q05,1,core_recall,0.0,0.0,0.0
per_question,evidence,Q05,3,part_recall,0.0,0.0,0.0
per_question,evidence,Q05,3,item_coverage,0.0,0.0,0.0
per_question,evidence,Q05,3,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q05,3,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q05,3,weighted_partial_coverage,0.0,0.0,0.0
per_question,evidence,Q05,3,core_recall,0.0,0.0,0.0
per_question,evidence,Q05,5,part_recall,0.166666666667,0.0,0.166666666667
per_question,evidence,Q05,5,item_coverage,0.145833333333,0.0,0.145833333333
per_question,evidence,Q05,5,all_parts_rate,0.0,0.0,0.0
per_question,evidence,Q05,5,benchmark_weighted_strict_score,0.0,0.0,0.0
per_question,evidence,Q05,5,weighted_partial_coverage,0.212121212121,0.0,0.212121212121
per_question,evidence,Q05,5,core_recall,0.0,0.0,0.0
per_question,evidence,Q05,10,part_recall,0.4,0.0,0.4
per_question,evidence,Q05,10,item_coverage,0.375,0.0,0.375
per_question,evidence,Q05,10,all_parts_rate,0.1875,0.0,0.1875
per_question,evidence,Q05,10,benchmark_weighted_strict_score,0.272727272727,0.0,0.272727272727
per_question,evidence,Q05,10,weighted_partial_coverage,0.484848484849,0.0,0.484848484849
per_question,evidence,Q05,10,core_recall,0.5,0.0,0.5
per_question,evidence,Q05,20,part_recall,0.533333333333,0.133333333333,0.4
per_question,evidence,Q05,20,item_coverage,0.5,0.15625,0.34375
per_question,evidence,Q05,20,all_parts_rate,0.375,0.0625,0.3125
per_question,evidence,Q05,20,benchmark_weighted_strict_score,0.5,0.045454545455,0.454545454545
per_question,evidence,Q05,20,weighted_partial_coverage,0.621212121212,0.159090909091,0.462121212121
per_question,evidence,Q05,20,core_recall,0.833333333333,0.0,0.833333333333
per_question,evidence,Q05,50,part_recall,0.666666666667,0.833333333333,0.166666666666
per_question,evidence,Q05,50,item_coverage,0.6875,0.84375,0.15625
per_question,evidence,Q05,50,all_parts_rate,0.5,0.75,0.25
per_question,evidence,Q05,50,benchmark_weighted_strict_score,0.590909090909,0.818181818182,0.227272727273
per_question,evidence,Q05,50,weighted_partial_coverage,0.757575757576,0.886363636364,0.128787878788
per_question,evidence,Q05,50,core_recall,0.833333333333,1.0,0.166666666667
per_question,evidence,Q07,1,part_recall,0.066666666667,0.0,0.066666666667
per_question,evidence,Q07,1,item_coverage,0.083333333333,0.0,0.083333333333
per_question,evidence,Q07,1,all_parts_rate,0.083333333333,0.0,0.083333333333
per_question,evidence,Q07,1,benchmark_weighted_strict_score,0.122448979592,0.0,0.122448979592
per_question,evidence,Q07,1,weighted_partial_coverage,0.122448979592,0.0,0.122448979592
per_question,evidence,Q07,1,core_recall,0.2,0.0,0.2
per_question,evidence,Q07,3,part_recall,0.133333333333,0.0,0.133333333333
per_question,evidence,Q07,3,item_coverage,0.166666666667,0.0,0.166666666667
per_question,evidence,Q07,3,all_parts_rate,0.166666666667,0.0,0.166666666667
per_question,evidence,Q07,3,benchmark_weighted_strict_score,0.244897959184,0.0,0.244897959184
per_question,evidence,Q07,3,weighted_partial_coverage,0.244897959184,0.0,0.244897959184
per_question,evidence,Q07,3,core_recall,0.4,0.0,0.4
per_question,evidence,Q07,5,part_recall,0.133333333333,0.066666666667,0.066666666666
per_question,evidence,Q07,5,item_coverage,0.166666666667,0.083333333333,0.083333333334
